id,fecha,n1,n2,n3,n4,n5,n6,comp,rein,joker
1,2020-06-18,9,15,17,18,37,46,5,8,2663255
2,2020-06-13,13,14,16,19,31,38,15,9,8927624
3,2020-06-11,1,3,28,30,38,40,37,1,1831913
4,2020-06-06,3,7,9,28,30,48,16,4,7700485
5,2020-06-04,9,12,16,21,22,23,34,8,4738730
6,2020-05-30,2,4,15,17,36,40,34,5,2152178
7,2020-05-28,18,24,28,31,42,49,8,1,8485681
8,2020-05-23,1,8,9,14,21,23,46,4,3943137
9,2020-05-21,2,5,9,21,34,49,22,2,7056324
10,2020-03-14,9,20,31,34,37,45,44,7,6381073
11,2020-03-12,13,15,16,27,38,49,7,0,8205072
12,2020-03-07,3,5,16,22,29,33,1,4,7079157
13,2020-03-05,5,15,19,27,46,49,39,3,0151181
14,2020-02-29,3,17,28,36,41,47,49,4,5268914
15,2020-02-27,16,18,24,25,34,42,11,7,2173453
16,2020-02-22,7,12,25,31,37,44,39,4,0662675
17,2020-02-20,3,15,18,23,31,39,26,5,0576516
18,2020-02-15,3,7,9,30,44,45,31,9,6288396
19,2020-02-13,4,12,20,36,40,45,18,0,3122084
20,2020-02-08,4,20,25,28,46,49,16,2,5745185
21,2020-02-06,14,16,28,33,45,47,18,3,1471400
22,2020-02-01,13,15,36,39,40,41,33,1,8305439
23,2020-01-30,19,25,28,29,34,42,33,9,9596183
24,2020-01-25,3,20,27,28,44,46,14,7,1807976
25,2020-01-23,2,17,18,19,38,40,9,1,7255927
26,2020-01-18,7,12,17,23,33,37,44,6,4987695
27,2020-01-16,1,12,17,18,30,46,11,2,7645589
28,2020-01-11,13,14,15,23,24,41,39,7,6400630
29,2020-01-09,3,19,34,36,44,48,4,3,1901947
30,2020-01-04,1,2,22,27,30,44,36,5,2157304
31,2020-01-02,11,25,32,40,44,46,12,2,4581061
32,2019-12-28,5,7,27,39,42,48,14,1,3670600
33,2019-12-26,13,35,43,45,46,47,2,6,8401006
34,2019-12-21,8,11,37,38,42,45,17,2,1264669
35,2019-12-19,19,31,32,37,40,48,36,1,8972940
36,2019-12-14,6,16,18,30,32,41,19,4,8499280
37,2019-12-12,2,13,31,32,33,40,5,9,6757977
38,2019-12-07,2,13,34,36,41,42,28,6,1608523
39,2019-12-05,1,17,18,40,41,43,21,7,6112558
40,2019-11-30,2,4,7,9,16,41,25,3,8944023
41,2019-11-28,7,11,21,41,43,46,16,2,2781963
42,2019-11-23,5,7,8,9,17,42,3,3,7757709
43,2019-11-21,3,5,11,27,34,37,40,6,8145569
44,2019-11-16,9,26,33,34,36,44,28,4,9922559
45,2019-11-14,2,16,19,25,37,43,30,7,2931652
46,2019-11-09,1,24,29,42,44,45,38,1,7843289
47,2019-11-07,10,12,23,26,41,46,34,4,4353011
48,2019-11-02,5,18,26,28,46,47,13,9,0880983
49,2019-10-31,5,7,15,29,42,44,40,2,4305608
50,2019-10-26,2,6,23,36,37,46,34,5,6929806
51,2019-10-24,5,13,19,38,39,42,45,0,3974958
52,2019-10-19,3,10,17,26,39,49,25,8,8145414
53,2019-10-17,2,16,28,36,38,43,7,2,8514919
54,2019-10-12,8,20,26,27,47,48,34,2,1637307
55,2019-10-10,11,20,22,26,27,43,31,5,6730939
56,2019-10-05,2,7,21,24,30,42,32,8,0405108
57,2019-10-03,10,19,20,25,39,42,46,8,8782477
58,2019-09-28,10,15,21,22,42,43,19,5,6832762
59,2019-09-26,10,16,28,37,39,40,1,9,2815046
60,2019-09-21,10,14,22,26,27,36,47,6,8030393
61,2019-09-19,10,20,29,30,33,41,24,5,3143212
62,2019-09-14,16,32,34,36,45,46,21,3,5369265
63,2019-09-12,3,10,16,27,34,37,30,5,5927655
64,2019-09-07,25,31,37,39,44,49,10,2,7720727
65,2019-09-05,3,10,11,13,19,31,40,5,2819371
66,2019-08-31,8,11,12,27,41,44,49,5,9082989
67,2019-08-29,1,2,3,28,40,43,17,6,4251483
68,2019-08-24,3,27,29,36,37,47,42,7,5326330
69,2019-08-22,21,24,38,39,45,46,29,5,4974449
70,2019-08-17,1,9,14,25,28,29,37,0,2424003
71,2019-08-15,3,5,10,21,26,49,2,3,1405836
72,2019-08-10,9,19,22,29,37,44,21,2,9996383
73,2019-08-08,9,21,31,35,43,47,17,5,9804115
74,2019-08-03,10,13,27,29,37,45,40,8,9615914
75,2019-08-01,6,11,21,22,28,41,37,8,5462477
76,2019-07-27,1,9,17,19,38,43,31,9,3137903
77,2019-07-25,7,15,16,35,37,38,27,6,2037959
78,2019-07-20,15,21,22,26,28,35,39,6,9240002
79,2019-07-18,18,23,24,33,45,48,21,6,7445668
80,2019-07-13,7,14,29,31,43,46,25,6,1089080
81,2019-07-11,12,13,26,30,39,46,32,8,2283653
82,2019-07-06,9,14,15,22,26,48,29,9,5506609
83,2019-07-04,2,13,19,32,34,49,23,6,1078660
84,2019-06-29,7,14,23,27,31,45,20,6,2699453
85,2019-06-27,8,13,17,27,32,49,38,3,5171135
86,2019-06-22,1,2,3,12,18,27,21,1,2488626
87,2019-06-20,7,9,14,35,39,48,10,2,4812959
